cp	247	159	1	1	248	159
cp	247	158	1	1	249	158
cp	247	157	1	1	250	157
cp	247	156	1	1	251	156
cp	247	155	1	1	252	155
cp	247	154	1	1	253	154
cp	247	153	1	1	254	153
cp	247	152	1	1	255	152
cp	247	151	1	1	256	151
cp	247	150	1	1	257	150
cp	247	149	1	1	258	149
cp	247	148	1	1	259	148
cp	247	147	1	1	260	147
cp	247	146	1	1	261	146
cp	247	145	1	1	262	145
cp	247	144	1	1	263	144
cp	247	143	1	1	264	143
cp	247	142	1	1	265	142
cp	247	141	1	1	266	141
cp	247	140	1	1	267	140
cp	247	139	1	1	268	139
cp	247	138	1	1	269	138
cp	247	137	1	1	270	137
cp	247	136	1	1	271	136
cp	247	135	1	1	272	135
cp	247	134	1	1	273	134
cp	247	133	1	1	274	133
cp	247	132	1	1	275	132
cp	247	131	1	1	276	131
cp	247	130	1	1	277	130
cp	247	129	1	1	278	129
cp	247	128	1	1	279	128
cp	247	127	1	1	280	127
cp	247	126	1	1	281	126
cp	247	125	1	1	282	125
cp	247	124	1	1	283	124
cp	247	123	1	1	284	123
cp	247	122	1	1	285	122
cp	247	121	1	1	286	121
cp	247	120	1	1	287	120
cp	247	119	1	1	288	119
cp	247	118	1	1	289	118
cp	247	117	1	1	290	117
cp	247	116	1	1	291	116
cp	247	115	1	1	292	115
cp	247	114	1	1	293	114
cp	247	113	1	1	294	113
cp	247	112	1	1	295	112
cp	247	111	1	1	296	111
cp	247	110	1	1	297	110
cp	247	109	1	1	298	109
cp	247	108	1	1	299	108
cp	247	107	1	1	300	107
cp	247	106	1	1	301	106
cp	247	105	1	1	302	105
cp	247	104	1	1	303	104
cp	247	103	1	1	304	103
cp	247	102	1	1	305	102
cp	247	101	1	1	306	101
cp	247	100	1	1	307	100
cp	247	99	1	1	308	99
cp	247	98	1	1	309	98
cp	247	97	1	1	310	97
cp	247	96	1	1	311	96
cp	247	95	1	1	312	95
cp	247	94	1	1	313	94
cp	247	93	1	1	314	93
cp	247	92	1	1	315	92
cp	247	91	1	1	316	91
cp	247	90	1	1	317	90
cp	247	89	1	1	318	89
cp	247	88	1	1	319	88
cp	247	87	1	1	320	87
cp	247	86	1	1	321	86
cp	247	85	1	1	322	85
cp	247	84	1	1	323	84
cp	247	83	1	1	324	83
cp	247	82	1	1	325	82
cp	247	81	1	1	326	81
cp	247	80	1	1	327	80
cp	247	79	1	1	328	79
